package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,SUMMARY OUTPUT,,text,12,Regression Statistics | Multiple R | R Square | Adjusted R Square | Standard Error,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,column_2,,mixed_numeric_text,12,0.95135100537911 | 0.905068735435843 | 0.89776633046937 | 0.626791262498003 | 15,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,column_3,,mixed_numeric_text,7,SS | 48.6924376338809 | 5.10727472766993 | 53.7997123615508 | Standard Error,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,column_4,,mixed_numeric_text,6,MS | 48.6924376338809 | 0.39286728674384 | t Stat | -11.1653705663173,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,column_5,,mixed_numeric_text,5,F | 123.941186443527 | P-value | 4.93693522742966e-08 | 5.11036346245206e-08,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,column_6,,mixed_numeric_text,5,Significance F | 5.11036346248804e-08 | Lower 95% | -460.992589486043 | 0.15624346742861,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,column_7,,mixed_numeric_text,3,Upper 95% | -311.52038931454 | 0.231482853592207,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,column_8,,mixed_numeric_text,3,Lower 95.0% | -460.992589486043 | 0.15624346742861,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Regression Results,column_9,,mixed_numeric_text,3,Upper 95.0% | -311.52038931454 | 0.231482853592207,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 15 non-empty rows from worksheet.
paper-2006-05,Ramp Meters On Trial: Evidence From The Twin Cities Metering Holiday,READY-TO-UPLOAD/PUBLIC,/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-2006-05-ramp-meters-on-trial-evidence-from-the-twin-cities-metering-holiday,data/analysis_spreadsheets/modernized_xlsx/Ramp Meters_Graph.xlsx,Data,Ramp Metering in Minnesota,,mixed_numeric_text,55,Year | 1970 | 1971 | 1973 | 1979,,,xlsx,medium,Some headers were missing; generated column_N names. Sampled first 58 non-empty rows from worksheet.
